personId,lastName,firstName,pos,heightFeet,heightInches
1629121,Adams,Jaylen,G,6,2
203500,Adams,Steven,C,7,0
1628389,Adebayo,Bam,C-F,6,10
1629061,Adel,Deng,F,6,7
200746,Aldridge,LaMarcus,C-F,6,11
1628959,Alkins,Rawle,G,6,5
1628960,Allen,Grayson,G,6,5
1628386,Allen,Jarrett,C,6,11
1628443,Allen,Kadeem,G,6,3
202329,Aminu,Al-Farouq,F,6,9
1626147,Anderson,Justin,G-F,6,6
203937,Anderson,Kyle,F,6,9
201583,Anderson,Ryan,F,6,10
203507,Antetokounmpo,Giannis,F,6,11
1628961,Antetokounmpo,Kostas,F,6,10
1628384,Anunoby,OG,F,6,8
1627853,Arcidiacono,Ryan,G,6,3
2772,Ariza,Trevor,F,6,8
201571,Augustin,D.J.,G,6,0
1629028,Ayton,Deandre,C,7,1
1628407,Bacon,Dwayne,G-F,6,7
1628963,Bagley III,Marvin,F,6,11
1628366,Ball,Lonzo,G,6,6
1628964,Bamba,Mo,C,7,0
200826,Barea,J.J.,G,6,0
203084,Barnes,Harrison,F,6,8
203115,Barton,Will,G,6,6
1628966,Bates-Diop,Keita,F,6,9
201587,Batum,Nicolas,F-G,6,8
201573,Bayless,Jerryd,G,6,3
203382,Baynes,Aron,C-F,6,10
203145,Bazemore,Kent,G,6,5
203078,Beal,Bradley,G,6,5
1627736,Beasley,Malik,G,6,5
201158,Belinelli,Marco,G-F,6,5
1628395,Bell,Jordan,F,6,9
1627761,Bembry,DeAndre',F,6,6
1627733,Bender,Dragan,F,7,1
1629541,Bertans,Dairis,G,6,4
202722,Bertans,Davis,F,6,10
201976,Beverley,Patrick,G,6,1
203920,Birch,Khem,C,6,9
202687,Biyombo,Bismack,C,6,9
202357,Bjelica,Nemanja,F,6,10
1628469,Blakeney,Antonio,G,6,4
202339,Bledsoe,Eric,G,6,1
1628417,Blossomgame,Jaron,F,6,8
1629129,Bluiett,Trevon,G-F,6,6
203992,Bogdanovic,Bogdan,G,6,6
202711,Bogdanovic,Bojan,F,6,8
101106,Bogut,Andrew,C,7,0
1628413,Bolden,Jonah,F,6,10
1629067,Bonga,Isaac,G,6,8
1626164,Booker,Devin,G,6,6
1628449,Boucher,Chris,F,6,10
202340,Bradley,Avery,G,6,2
1628396,Bradley,Tony,C,6,10
201147,Brewer,Corey,G-F,6,9
1628969,Bridges,Mikal,F,6,7
1628970,Bridges,Miles,F,6,7
1629151,Broekhoff,Ryan,G-F,6,7
1627763,Brogdon,Malcolm,G,6,5
1628415,Brooks,Dillon,G-F,6,6
1628971,Brown,Bruce,G,6,5
1627759,Brown,Jaylen,G,6,7
1628425,Brown,Sterling,G,6,6
1628972,Brown Jr.,Troy,F,6,7
1628973,Brunson,Jalen,G,6,3
1628418,Bryant,Thomas,C,6,11
203493,Bullock,Reggie,G-F,6,7
203504,Burke,Trey,G,6,1
202692,Burks,Alec,G,6,6
1629126,Burton,Deonte,G,6,5
202710,Butler,Jimmy,G-F,6,8
203998,Caboclo,Bruno,F,6,9
101181,Calderon,Jose,G,6,3
203484,Caldwell-Pope,Kentavious,G,6,5
203991,Capela,Clint,C,6,10
201960,Carroll,DeMarre,F,6,8
1628975,Carter,Jevon,G,6,2
1713,Carter,Vince,F-G,6,6
1628976,Carter Jr.,Wendell,C,6,10
203487,Carter-Williams,Michael,G,6,6
1627936,Caruso,Alex,G,6,5
1626161,Cauley-Stein,Willie,C,7,0
1628505,Caupain,Troy,G,6,4
1628463,Cavanaugh,Tyler,F,6,9
2199,Chandler,Tyson,C,7,1
201163,Chandler,Wilson,F,6,9
1629147,Chealey,Joe,G,6,3
1629185,Chiozza,Chris,G,6,0
1627737,Chriss,Marquese,F,6,10
1629109,Clark,Gary,F,6,8
203546,Clark,Ian,G,6,3
203903,Clarkson,Jordan,G,6,5
1628381,Collins,John,F-C,6,10
1628380,Collins,Zach,F-C,7,0
201954,Collison,Darren,G,6,0
1629045,Colson,Bonzie,F,6,6
201144,Conley,Mike,G,6,1
1626192,Connaughton,Pat,G,6,4
1626188,Cook,Quinn,G,6,2
202326,Cousins,DeMarcus,C,6,11
203496,Covington,Robert,F,6,9
203459,Crabbe,Allen,G-F,6,6
1628470,Craig,Torrey,F,6,7
2037,Crawford,Jamal,G,6,5
203109,Crowder,Jae,F,6,6
201967,Cunningham,Dante,F,6,8
203552,Curry,Seth,G,6,2
201939,Curry,Stephen,G,6,3
203584,Daniels,Troy,G,6,4
203076,Davis,Anthony,F-C,6,10
202334,Davis,Ed,C,6,10
203473,Dedmon,Dewayne,C,7,0
1626155,Dekker,Sam,F,6,9
1629116,Delgado,Angel,C,6,10
203521,Dellavedova,Matthew,G,6,4
2736,Deng,Luol,F,6,9
201942,DeRozan,DeMar,G,6,7
1629094,Derrickson,Marcus,F,6,7
1627767,Diallo,Cheick,F,6,9
1628977,Diallo,Hamidou,G,6,5
203476,Dieng,Gorgui,C,6,11
203915,Dinwiddie,Spencer,G,6,6
1628978,DiVincenzo,Donte,G,6,4
1629029,Doncic,Luka,F-G,6,7
1628416,Dorsey,Tyler,G,6,5
1628422,Dotson,Damyean,G,6,6
1628408,Dozier,PJ,G-F,6,6
201609,Dragic,Goran,G,6,3
203083,Drummond,Andre,C,6,11
201162,Dudley,Jared,F,6,7
1627739,Dunn,Kris,G,6,4
201142,Durant,Kevin,F,6,9
1628979,Duval,Trevon,G,6,2
1629053,Edwards,Vincent,F,6,8
1627740,Ellenson,Henry,F,6,11
201961,Ellington,Wayne,G,6,5
203954,Embiid,Joel,F-C,7,0
203516,Ennis III,James,F,6,7
1629234,Eubanks,Drew,F,6,10
1628980,Evans,Jacob,G,6,6
1628393,Evans,Jawun,G,6,0
203957,Exum,Dante,G,6,6
202702,Faried,Kenneth,F-C,6,8
202324,Favors,Derrick,F-C,6,10
1626245,Felicio,Cristiano,F-C,6,10
101109,Felton,Raymond,G,6,1
1628390,Ferguson,Terrance,G,6,7
1627812,Ferrell,Yogi,G,6,0
1627827,Finney-Smith,Dorian,F,6,8
1627854,Forbes,Bryn,G,6,3
203095,Fournier,Evan,G-F,6,7
1628368,Fox,De'Aaron,G,6,3
1626187,Frazier,Michael,G,6,4
204025,Frazier,Tim,G,6,1
1628982,Frazier Jr.,Melvin,G-F,6,6
202690,Fredette,Jimmer,G,6,2
101112,Frye,Channing,F-C,7,0
1628365,Fultz,Markelle,G,6,4
1629117,Gabriel,Wenyen,F,6,9
201568,Gallinari,Danilo,F,6,10
204038,Galloway,Langston,G,6,2
1628656,Garrett,Billy,G-F,6,6
201188,Gasol,Marc,C,7,1
2200,Gasol,Pau,C-F,7,0
200752,Gay,Rudy,F,6,8
202331,George,Paul,F,6,9
1626780,Gibson,Jonathan,G,6,2
201959,Gibson,Taj,F,6,9
1628385,Giles III,Harry,F-C,6,10
1628983,Gilgeous-Alexander,Shai,G,6,6
203497,Gobert,Rudy,C,7,1
1629164,Goodwin,Brandon,G,6,2
203932,Gordon,Aaron,F,6,9
201569,Gordon,Eric,G,6,4
1628984,Graham,Devonte',G,6,2
1626203,Graham,Treveon,F,6,5
203924,Grant,Jerami,F,6,9
1626170,Grant,Jerian,G,6,4
1629055,Grantham,Donte,F,6,8
201980,Green,Danny,G-F,6,6
203110,Green,Draymond,F,6,7
101123,Green,Gerald,G-F,6,7
203210,Green,JaMychal,F,6,9
201145,Green,Jeff,F,6,9
201933,Griffin,Blake,F,6,10
203501,Hardaway Jr.,Tim,G,6,6
201935,Harden,James,G,6,5
203090,Harkless,Maurice,F,6,9
1626149,Harrell,Montrezl,F-C,6,8
2734,Harris,Devin,G,6,3
203914,Harris,Gary,G,6,4
203925,Harris,Joe,F-G,6,6
202699,Harris,Tobias,F,6,9
1627885,Harrison,Shaquille,G,6,4
1628404,Hart,Josh,G,6,5
1628392,Hartenstein,Isaiah,F-C,7,0
2617,Haslem,Udonis,F,6,8
202330,Hayward,Gordon,F,6,8
203089,Henson,John,F,6,11
1627823,Hernangomez,Juancho,F,6,9
1626195,Hernangomez,Willy,C,6,11
1626209,Hezonja,Mario,F,6,8
1628439,Hicks,Isaiah,F,6,9
1627741,Hield,Buddy,G,6,4
1629312,Highsmith,Haywood,F,6,7
201588,Hill,George,G,6,3
203524,Hill,Solomon,F,6,7
1628988,Holiday,Aaron,G,6,1
201950,Holiday,Jrue,G,6,4
203200,Holiday,Justin,F-G,6,6
1626178,Hollis-Jefferson,Rondae,F,6,7
1626158,Holmes,Richaun,F-C,6,10
203918,Hood,Rodney,G,6,8
201143,Horford,Al,C-F,6,10
1627863,House Jr.,Danuel,F-G,6,7
2730,Howard,Dwight,C,6,11
1628989,Huerter,Kevin,G,6,7
1629353,Humphries,Isaac,C,7,0
1626154,Hunter,RJ,G,6,5
1628990,Hutchison,Chandler,F,6,7
201586,Ibaka,Serge,C-F,6,10
2738,Iguodala,Andre,F-G,6,6
101141,Ilyasova,Ersan,F,6,10
204060,Ingles,Joe,F,6,8
